Country,Languages
Afghanistan,"Afghan Persian or Dari , Pashto , Uzbek , English , Turkmen , Urdu , Pashayi , Nuristani , Arabic , Balochi Â "
Albania,"Albanian , Greek , other , unspecified Â "
Algeria,"Arabic, French, Berber or Tamazight; dialects include Kabyle Berber, Shawiya Berber, Mzab Berber, Tuareg Berber"
Andorra,"Catalan, French, Castilian, Portuguese"
Angola,"Portuguese , Umbundu , Kikongo , Kimbundu , Chokwe , Nhaneca , Nganguela , Fiote , Kwanhama , Muhumbi , Luvale , other Â "
Antigua and Barbuda,"English, Antiguan creole"
Argentina,"Spanish, Italian, English, German, French, indigenous"
Armenia,"Armenian , Kurdish , other Â "
Australia,"English , Mandarin , Arabic , Cantonese , Vietnamese , Italian , Greek , other , unspecified Â "
Austria,"German , Turkish , Serbian , Croatian , other Â "
Azerbaijan,"Azerbaijani , Russian , Armenian , other Â "
Bahamas,"Azerbaijani , Russian , Armenian , other Â "
Bahrain,"Arabic, English, Farsi, Urdu"
Bangladesh,"Bangla , other Â "
Barbados,"English, Bajan"
Belarus,"Russian , Belarusian , other , unspecified Â "
Belgium,"Dutch , French , German less than "
Belize,"English , Spanish , Creole , Maya , German , Garifuna , other , unknown , none Â "
Benin,"French, Fon and Yoruba, tribal languages"
Bhutan,"Sharchhopka , Dzongkha , Lhotshamkha , other Â "
Bolivia,"Spanish , Quechua , Aymara , Guarani , other native languages , foreign languages , none Â "
Bosnia and Herzegovina,"Bosnian , Serbian , Croatian , other , no answer Â "
Botswana,"Setswana , Sekalanga , Shekgalagadi , English , Zezuru/Shona , Sesarwa , Sembukushu , Ndebele , other Â "
Brazil,Portuguese
Brunei,"Malay, English, Chinese dialects"
Bulgaria,"Bulgarian , Turkish , Romani , other , unspecified Â "
Burkina Faso,"French, native African languages belonging to Sudanic family spoken by  of the population"
Burundi,"Kirundi only ; French only .; Swahili only .; English only .; Kirundi and French ; Kirundi, French, and English , other language combinations , unspecified Â note: data represent languages read and written by people years of age or older; spoken Kirundi is nearly universal"
Cambodia,"Khmer , other Â "
Cameroon,"major African language groups, English, French"
Canada,"English , French , Punjabi , Italian , Spanish , German , Cantonese , Tagalog , Arabic , other Â "
Cape Verde,"English , French , Punjabi , Italian , Spanish , German , Cantonese , Tagalog , Arabic , other Â "
Central African Republic,"French, Sangho, tribal languages"
Chad,"French, Arabic, Sara, more than different languages and dialects"
Chile,"Spanish , English , indigenous , other , unspecified Â "
China,"Standard Chinese or Mandarin, Yue, Wu, Minbei, Minnan, Xiang, Gan, Hakka dialects, minority languages"
Colombia,Spanish
Comoros,"Arabic, French, Shikomoro"
"Congo, Democratic Republic of theÂ","French, Lingala, Kingwana, Kikongo, Tshiluba"
"Congo, Republic of","French, Lingala, Kingwana, Kikongo, Tshiluba"
Costa Rica,"Spanish, English"
CÃ´te d'Ivoire,"French, native dialects of which Dioula is the most widely spoken"
Croatia,"Croatian , Serbian , other , unspecified Â "
Cuba,Spanish
Cyprus,"Greek , Turkish , English , Romanian , Russian , Bulgarian , Arabic , Filipino , other , unspecified Â "
Czech Republic,"Greek , Turkish , English , Romanian , Russian , Bulgarian , Arabic , Filipino , other , unspecified Â "
Denmark,"Danish, Faroese, Greenlandic, German"
Djibouti,"French, Arabic, Somali, Afar"
Dominica,"English, French patois"
Dominican Republic,Spanish
East Timor,Spanish
Ecuador,"Spanish , Quechua , other indigenous , foreign Â "
Egypt,"Arabic, Arabic, English, and French widely understood by educated classes"
El Salvador,"Spanish, Nawat"
Equatorial Guinea,"Spanish , other, French) Â "
Eritrea,"Tigrinya, Arabic, English, Tigre, Kunama, Afar, other Cushitic languages"
Estonia,"Estonian , Russian , Ukrainian , other , unspecified Â "
Eswatini,"English, siSwati"
Ethiopia,"Oromo , Amharic , Somali , Tigrigna , Sidamo , Wolaytta , Gurage , Afar , Hadiyya , Gamo , Gedeo , Opuuo , Kafa , other , English, ArabicÂ "
Fiji,"English, Fijian, Hindustani"
Finland,"Finnish , Swedish , Russian , other Â "
France,"French , declining regional dialects and languages"
Gabon,"French, Fang, Myene, Nzebi, Bapounou/Eschira, Bandjabi"
Gambia,"French, Fang, Myene, Nzebi, Bapounou/Eschira, Bandjabi"
Georgia,"Georgian , Azeri , Armenian , Russian , other Â "
Germany,"Germannote: Danish, Frisian, Sorbian, and Romani are official minority languages; Low German, Danish, North Frisian, Sater Frisian, Lower Sorbian, Upper Sorbian, and Romani are recognized as regional languages under the European Charter for Regional or Minority Languages"
Ghana,"Asante , Ewe , Fante , Boron , Dagomba , Dangme , Dagarte , Kokomba , Akyem , Ga , other Â "
Greece,"Greek , other "
Grenada,"English, French patois"
Guatemala,"Spanish , Maya languages , other Â "
Guinea,"French, Pular, Maninka, Susu, other native languages"
Guinea-Bissau,"Crioulo, Portuguese, Pular, Mandingo"
Guyana,"English, Guyanese Creole, Amerindian languages, Indian languages, ChineseÂ "
Haiti,"French, Creole"
Honduras,"Spanish, Amerindian dialects"
Hungary,"Hungarian , English , German , Russian , Romanian , French , other Â "
Iceland,"Icelandic, English, Nordic languages, German"
India,"Hindi , Bengali , Marathi , Telugu , Tamil , Gujarati , Urdu , Kannada , Odia , Malayalam , Punjabi , Assamese , Maithili , other Â "
Indonesia,"Bahasa Indonesian, English, Dutch, local dialectsnote: more than languages are used in Indonesia"
Iran,"Persian FarsiÂ , AzeriÂ and otherÂ Turkic dialects, Kurdish, Gilaki and Mazandarani, Luri, Balochi, Arabic"
Iraq,"Arabic, Kurdish, Turkmen, Syriac, and Armenian are official in areas where native speakers of these languages constitute a majority of the population"
Ireland,"English, Irish"
Israel,"Hebrew, Arabic, English"
Italy,"Italian, German, French, Slovene"
Jamaica,"English, English patois"
Japan,Japanese
Jordan,"Arabic, English"
Kazakhstan,Kazakh  and trilingual ; Russian 
Kenya,"English, Kiswahili, numerous indigenous languages"
Kiribati,"I-Kiribati, English"
"Korea, North",Korean
"Korea, South","Korean, English"
Kosovo,"Albanian , Bosnian , Serbian , Turkish , other , unspecified Â "
Kuwait,"Arabic, English widely spoken"
Kyrgyzstan,"Kyrgyz , Uzbek , Russian , other Â "
Laos,"Lao, French, English, various ethnic languages"
Latvia,"Latvian , Russian , other , unspecified Â "
Lebanon,"Arabic, French, English, Armenian"
Lesotho,"Sesotho, English, Zulu, Xhosa"
Liberia,"English , some ethnic group languages few of which can be written or used in correspondence"
Libya,"Arabic, Italian, English; Berber"
Liechtenstein,"German , Italian , Turkish , Portuguese , other Â "
Lithuania,"Lithuanian , Russian , Polish , other , unspecified Â "
