ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
aari,,9,aar,aiw,{},6.0,36.5833333333,Africa,,Aari,1668,False,False
abau,,367,aba,aau,{},-4.0,141.25,Papunesia,,Abau,968,False,False
abaza,,325,abz,abq,{},44.0,42.0,Eurasia,,Abaza,908,False,False
abenaki (western),,17,abw,abe,{},44.0,-72.25,North America,,Abenaki (Western),267,False,False
abidji,,275,abd,abi,{},5.66666666667,-4.58333333333,Africa,,Abidji,628,False,False
abipon,,696,abi,axb,{},-29.0,-61.0,South America,,Abipón,2339,False,True
abkhaz,,325,abk,abk,{},43.0833333333,41.0,Eurasia,,Abkhaz,2534,True,True
abui,,417,abv,abz,{},-8.25,124.666666667,Papunesia,,Abui,2644,False,False
abun,,493,abu,kgr,{},-0.5,132.5,Papunesia,,Abun,2245,False,False
acehnese,,519,ace,ace,{},5.5,95.5,Eurasia,,Acehnese,2343,False,False
achagua,,781,acg,aca,{},4.41666666667,-72.25,South America,,Achagua,1786,False,False
achang,,380,acn,acn,{},25.0,98.5,Eurasia,,Achang,1289,False,False
ache,,457,ach,guq,{},-25.25,-55.1666666667,South America,,Aché,1153,False,False
achi,,250,aci,acr,{},15.1666666667,-90.5,North America,,Achí,2,False,False
acholi,,320,acl,ach,{},3.0,32.6666666667,Africa,,Acholi,1886,False,False
achuar,,197,acu,acu,{},-2.66667,-76.0,South America,,Achuar,2674,False,False
achumawi,,173,acm,acv,{},41.5,-121.0,North America,,Achumawi,2069,False,False
acoma,,209,aco,kjq,{},34.9166666667,-107.583333333,North America,,Acoma,2438,True,True
adamorobe sign language,,330,ada,ads,{},5.83333333333,-0.166666666667,Africa,,Adamorobe Sign Language,268,False,False
adang,,417,adg,adn,{},-8.2,124.0,Papunesia,,Adang,2645,False,False
adioukrou,,275,adi,adj,{},5.41666666667,-4.58333333333,Africa,,Adioukrou,1821,False,False
adyghe (abzakh),,325,ady,ady,{},45.2333333333,40.5833333333,Eurasia,,Adyghe (Abzakh),1436,False,False
adyghe (shapsugh),,325,ash,ady,{},45.0,38.75,Eurasia,,Adyghe (Shapsugh),3,False,False
adyghe (temirgoy),,325,adt,ady,{},45.2166666667,39.7,Eurasia,,Adyghe (Temirgoy),269,False,False
adynyamathanha,,792,adn,adt,{},-30.5,139.5,Australia,,Adynyamathanha,1340,False,False
adzera,,87,adz,adz,{},-6.25,146.25,Papunesia,,Adzera,1494,False,False
aekyom,,101,awi,awi,{},-5.75,141.416666667,Papunesia,,Aekyom,639,False,False
afrikaans,,181,afr,afr,{},-31.0,22.0,Africa,,Afrikaans,1380,False,False
agarabi,,430,aga,agd,{},-6.16666666667,146.0,Papunesia,,Agarabi,1669,False,False
aghem,,274,agh,agq,{},6.66666666667,10.0,Africa,,Aghem,1381,False,False
aghu,,445,ahu,ahh,{},-6.16666666667,140.166666667,Papunesia,,Aghu,1015,False,False
aghul,,267,agl,agx,{},41.75,47.6666666667,Eurasia,,Aghul,853,False,False
agta (central),,513,agc,agt,{},17.9666666667,121.833333333,Papunesia,,Agta (Central),1822,False,False
agta (dupaningan),,513,agd,duo,{},18.0,122.083333333,Papunesia,,Agta (Dupaningan),2630,False,False
aguacatec,,250,agu,agu,{},15.4166666667,-91.3333333333,North America,,Aguacatec,1060,False,False
aguaruna,,197,agr,agr,{},-5.0,-78.0,South America,,Aguaruna,780,False,False
ahtna,,262,aht,aht,{},62.0,-145.0,North America,,Ahtna,1382,False,False
aikana,,528,aik,tba,{},-12.6666666667,-60.6666666667,South America,,Aikaná,1290,False,False
ainu,,14,ain,ain,{},43.0,143.0,Eurasia,,Ainu,2486,False,True
aizi,,277,aiz,ahp,{},5.25,-4.5,Africa,,Aizi,1154,False,False
aja,,301,aja,aja,{},7.33333333333,25.6666666667,Africa,,Aja,1099,False,False
ajagbe,,275,ajg,ajg,{},7.0,1.75,Africa,,Ajagbe,2589,False,False
ajie,,87,aji,aji,{},-21.3333333333,165.5,Papunesia,,Ajië,270,False,False
aka,,274,aka,axk,{},2.66666666667,16.25,Africa,,Aka,4,False,False
akabiada,,163,akb,abj,{},11.6666666667,92.5,Eurasia,,Aka-Biada,5,False,False
akacari,,163,akc,aci,{},13.5,93.0,Eurasia,,Aka-Cari,6,False,False
akakede,,163,akk,akx,{},12.75,92.75,Eurasia,,Aka-Kede,7,False,False
akan,,275,akn,aka,{},6.5,-1.25,Africa,,Akan,2309,False,False
akawaio,,119,akw,ake,{},6.0,-59.5,South America,,Akawaio,1291,False,False
akha,,380,akh,ahk,{},21.8333333333,99.8333333333,Eurasia,,Akha,1712,False,False
akhvakh,,269,axv,akv,{},42.3333333333,46.3333333333,Eurasia,,Akhvakh,271,False,False
aklanon,,513,akl,akl,{},11.5833333333,122.333333333,Papunesia,,Aklanon,629,False,False
akwa,,286,awk,png,{},10.0833333333,6.33333333333,Africa,,Akwa,8,False,False
alaala,,87,all,nrz,{},-8.91666666667,146.75,Papunesia,,Ala'ala,1437,False,False
alabama,,260,abm,akz,{},32.3333333333,-87.4166666667,North America,,Alabama,1787,False,False
alagwa,,1,agw,wbj,{},-5.5,35.75,Africa,,Alagwa,969,False,False
alamblak,,370,ala,amp,{},-4.66666666667,143.333333333,Papunesia,,Alamblak,2480,True,True
alas,,521,alx,btz,{},3.66666666667,97.8333333333,Papunesia,,Alas,9,False,False
alawa,,790,alw,alh,{},-15.1666666667,134.25,Australia,,Alawa,2169,False,False
albanian,,190,alb,"aln, als",{},41.0,20.0,Eurasia,,Albanian,2374,False,False
aleut,,157,ale,ale,{},54.0,-166.0,North America,,Aleut,1788,False,False
aleut (eastern),,157,aea,ale,{},54.75,-164.0,North America,,Aleut (Eastern),1292,False,False
algonquin,,17,alg,alq,{},46.0,-77.0,North America,,Algonquin,272,False,False
alladian,,275,ald,ald,{},5.16666666667,-4.33333333333,Africa,,Alladian,1210,False,False
allentiac,,177,alc,,{},-31.0,-68.0,South America,,Allentiac,497,False,False
alsatian,,181,alt,gsw,{},48.5,7.5,Eurasia,,Alsatian,10,False,False
alsea,,328,als,aes,{},44.6666666667,-123.916666667,North America,,Alsea,1061,False,False
altai (southern),,19,aso,alt,{},51.0,87.0,Eurasia,,Altai (Southern),498,False,False
alune,,75,aln,alp,{},-3.0,128.333333333,Papunesia,,Alune,1858,False,False
alutiiq,,158,atq,ems,{},57.0,-157.0,North America,,Alutiiq,854,False,False
alutor,,139,alu,alr,{},61.0,165.0,Eurasia,,Alutor,499,False,False
alyawarra,,792,aly,aly,{},-22.5,135.0,Australia,,Alyawarra,2122,False,False
ama,,229,amm,amm,{},-4.21666666667,141.616666667,Papunesia,,Ama,2652,False,False
amahuaca,,342,amc,amc,{},-10.5,-72.5,South America,,Amahuaca,2054,False,False
amanab,,110,amn,amn,{},-3.58333333333,141.25,Papunesia,,Amanab,1581,False,False
amara,,87,ama,aie,{},-5.66666666667,148.5,Papunesia,,Amara,1100,False,False
amarakaeri,,168,amk,amr,{},-12.5,-70.5,South America,,Amarakaeri,909,False,False
ambae (lolovoli northeast),,87,aml,omb,{},-15.4166666667,167.883333333,Papunesia,,Ambae (Lolovoli Northeast),1582,False,False
ambai,,79,amq,amk,{},-1.83333333333,136.5,Papunesia,,Ambai,1789,False,False
ambulas,,826,amb,abt,{},-3.83333333333,143.0,Papunesia,,Ambulas,1919,False,False
amdo,,389,amd,adx,{},35.0,100.0,Eurasia,,Amdo,273,False,False
amdo (themchen),,389,amt,adx,{},38.0,98.0,Eurasia,,Amdo (Themchen),2614,False,False
amele,,437,ame,aey,{},-5.25,145.583333333,Papunesia,,Amele,2538,True,True
american sign language,,330,asl,ase,{},39.0,-78.0,North America,,American Sign Language,274,False,False
amharic,,10,amh,amh,{},10.0,38.0,Africa,,Amharic,2387,False,False
amis,,595,ami,ami,{},23.3333333333,121.333333333,Papunesia,,Amis,910,False,False
amo,,286,amo,amo,{},10.3333333333,8.66666666667,Africa,,Amo,1920,False,False
ampeeli,,449,ape,apz,{},-6.75,146.083333333,Papunesia,,Ampeeli,630,False,False
amuesha,,531,amu,ame,{},-10.5,-75.4166666667,South America,,Amuesha,1921,False,False
amuzgo,,337,amz,amu,{},16.8333333333,-98.0,North America,,Amuzgo,1495,False,False
anamuxra,,437,amx,imi,{},-4.66666666667,145.0,Papunesia,,Anamuxra,1293,False,False
andi,,269,anx,ani,{},42.75,46.25,Eurasia,,Andi,11,False,False
andoke,,22,adk,ano,{},-0.666666666667,-72.0,South America,,Andoke,1887,False,False
